tipo_operacion,importe,hora,dia_semana,pais_destino,antiguedad_cliente,num_transacciones_24h,importe_promedio_historico,ratio_importe_vs_historico,canal,es_fraude
pago_online,105.01,9,4,domestic,12,0,124.73,0.8419,cajero,0
pago_online,31.64,19,4,domestic,46,1,57.51,0.5502,app_movil,0
pago_online,141.84,12,6,domestic,36,0,112.27,1.2634,app_movil,0
transferencia,18.5,18,3,domestic,86,0,70.21,0.2635,web,0
pago_online,197.85,16,3,LATAM,54,1,162.7,1.216,app_movil,0
transferencia,244.59,15,2,domestic,85,1,183.17,1.3353,app_movil,0
retiro_cajero,197.68,20,1,domestic,44,3,162.85,1.2139,web,0
retiro_cajero,69.53,14,3,domestic,60,2,48.44,1.4354,app_movil,0
compra_pos,39.05,11,4,Africa,63,4,46.86,0.8333,web,0
transferencia,72.62,16,1,domestic,59,2,78.89,0.9205,app_movil,0
transferencia,80.67,17,0,domestic,57,1,77.37,1.0426,sucursal,0
transferencia_internacional,119.88,13,5,domestic,58,3,102.43,1.1703,app_movil,0
retiro_cajero,63.85,13,5,US,63,0,54.83,1.1645,sucursal,0
pago_online,233.5,16,0,EU,22,2,209.12,1.1166,web,0
transferencia,634.07,18,4,domestic,91,0,503.75,1.2587,cajero,0
transferencia_internacional,143.89,14,0,domestic,89,3,134.6,1.069,cajero,0
retiro_cajero,366.17,12,4,domestic,41,2,283.31,1.2925,app_movil,0
transferencia,352.75,18,6,domestic,92,1,259.49,1.3594,cajero,0
pago_online,101.94,21,1,domestic,79,5,196.75,0.5181,web,0
retiro_cajero,119.48,10,3,domestic,55,2,152.7,0.7824,web,0
pago_online,66.93,19,6,EU,57,1,37.88,1.7669,sucursal,0
transferencia,12.71,14,0,domestic,60,0,12.93,0.9832,web,0
pago_online,56.8,19,6,domestic,48,3,63.31,0.8972,sucursal,0
pago_online,83.29,6,6,domestic,52,2,122.13,0.682,app_movil,0
transferencia,82.37,7,1,domestic,12,3,74.51,1.1055,web,0
transferencia,95.02,20,1,domestic,26,0,112.94,0.8413,sucursal,0
compra_pos,71.29,20,0,EU,24,1,64.16,1.1112,web,0
retiro_cajero,110.5,12,6,domestic,50,0,81.14,1.3619,app_movil,0
retiro_cajero,200.03,16,4,domestic,61,3,207.52,0.9639,web,0
compra_pos,283.33,18,6,US,40,2,337.56,0.8393,web,0
retiro_cajero,198.79,10,2,LATAM,64,1,282.0,0.7049,web,0
retiro_cajero,10.97,21,4,domestic,107,1,21.6,0.5077,web,0
transferencia,86.33,18,2,domestic,193,2,83.55,1.0332,app_movil,0
compra_pos,147.31,8,2,domestic,23,1,216.54,0.6803,sucursal,0
compra_pos,107.3,23,4,domestic,35,2,84.05,1.2766,app_movil,0
pago_online,142.43,13,3,US,43,0,103.02,1.3825,web,0
retiro_cajero,74.93,22,1,domestic,35,1,218.6,0.3428,sucursal,0
transferencia,59.39,13,3,domestic,99,2,62.94,0.9436,app_movil,0
transferencia,127.13,15,3,EU,120,4,95.97,1.3247,cajero,0
compra_pos,95.46,18,0,domestic,19,0,115.09,0.8295,app_movil,0
transferencia,76.38,13,6,domestic,58,1,94.81,0.8056,sucursal,0
pago_online,41.08,22,3,Africa,22,5,39.98,1.0275,cajero,0
transferencia,225.86,9,5,domestic,86,2,186.01,1.2142,cajero,0
retiro_cajero,319.61,11,5,domestic,47,1,236.87,1.3493,app_movil,0
transferencia,94.94,19,3,domestic,91,4,97.57,0.9731,app_movil,0
pago_online,285.63,13,2,domestic,74,2,178.51,1.6001,app_movil,0
transferencia,226.05,22,2,domestic,117,2,215.55,1.0487,web,0
transferencia,219.64,19,6,EU,116,4,159.27,1.3791,app_movil,0
transferencia,127.11,16,1,domestic,35,2,106.96,1.1884,app_movil,0
compra_pos,32.56,11,4,domestic,105,3,34.73,0.9376,web,0
retiro_cajero,53.63,11,6,EU,29,0,30.57,1.7544,sucursal,0
transferencia,29.29,19,4,domestic,71,3,24.72,1.1849,app_movil,0
compra_pos,191.14,9,0,domestic,66,1,228.38,0.8369,app_movil,0
transferencia,216.25,8,3,US,110,5,210.52,1.0272,app_movil,0
transferencia,32.79,11,6,EU,40,2,110.95,0.2956,app_movil,0
transferencia,120.25,13,0,Africa,116,0,165.66,0.7259,cajero,0
transferencia,285.36,11,2,domestic,9,0,192.75,1.4805,app_movil,0
transferencia,81.65,16,0,US,98,1,99.85,0.8178,app_movil,0
transferencia_internacional,84.11,13,1,domestic,21,2,67.51,1.2459,app_movil,0
compra_pos,104.4,12,1,LATAM,166,2,82.82,1.2606,app_movil,0
compra_pos,57.64,13,1,domestic,88,2,49.59,1.1624,cajero,0
compra_pos,20.51,17,2,EU,85,1,35.02,0.5856,web,0
retiro_cajero,16.86,19,0,domestic,26,1,25.15,0.6705,sucursal,0
retiro_cajero,68.05,10,1,domestic,58,3,54.6,1.2464,web,0
transferencia,234.56,7,3,domestic,40,0,315.05,0.7445,web,0
retiro_cajero,521.38,12,3,domestic,71,4,435.73,1.1966,app_movil,0
retiro_cajero,18.34,11,4,EU,72,1,26.46,0.6932,app_movil,0
transferencia,92.29,7,2,domestic,99,2,85.44,1.0802,app_movil,0
transferencia,96.41,12,4,US,49,3,84.94,1.135,cajero,0
transferencia_internacional,59.72,12,4,domestic,59,0,71.53,0.8349,web,0
retiro_cajero,33.29,12,1,EU,34,1,34.45,0.9663,web,0
transferencia,103.15,18,2,domestic,72,1,105.23,0.9802,sucursal,0
transferencia,16.16,14,0,Asia,57,2,24.82,0.6511,app_movil,0
transferencia_internacional,21.01,10,2,domestic,47,2,29.49,0.7125,cajero,0
compra_pos,57.35,10,3,domestic,110,2,49.25,1.1645,app_movil,0
transferencia,214.18,9,5,domestic,68,2,151.94,1.4096,app_movil,0
retiro_cajero,150.09,19,6,domestic,82,1,151.64,0.9898,app_movil,0
pago_online,75.99,9,1,domestic,44,2,53.43,1.4222,app_movil,0
transferencia_internacional,170.08,16,4,Asia,22,1,104.01,1.6352,web,0
transferencia,57.39,18,0,domestic,41,1,41.43,1.3852,web,0
transferencia,81.59,14,3,Asia,53,2,76.26,1.07,cajero,0
compra_pos,16.97,5,1,domestic,37,1,29.16,0.5819,web,0
retiro_cajero,143.44,19,4,domestic,8,3,153.37,0.9353,web,0
transferencia,31.68,13,2,domestic,30,0,28.37,1.1168,app_movil,0
compra_pos,30.93,8,4,domestic,76,2,33.29,0.9291,cajero,0
transferencia,61.77,14,2,domestic,55,0,87.39,0.7068,app_movil,0
transferencia,263.34,22,1,domestic,18,3,225.1,1.1699,app_movil,0
retiro_cajero,123.79,20,4,Africa,14,0,115.23,1.0743,web,0
pago_online,85.28,12,5,domestic,50,2,52.46,1.6256,sucursal,0
compra_pos,145.83,9,0,domestic,71,2,263.17,0.5541,web,0
pago_online,187.95,9,5,domestic,31,3,171.97,1.0929,app_movil,0
transferencia,72.29,10,6,EU,174,4,68.27,1.059,app_movil,0
retiro_cajero,126.46,10,0,EU,49,4,178.34,0.7091,app_movil,0
compra_pos,76.65,18,4,domestic,97,0,57.39,1.3355,cajero,0
compra_pos,59.08,8,1,Africa,34,2,51.19,1.1541,sucursal,0
compra_pos,193.55,13,2,LATAM,33,3,160.38,1.2068,sucursal,0
retiro_cajero,45.23,23,5,domestic,68,2,49.18,0.9196,web,0
retiro_cajero,40.61,16,5,domestic,123,4,38.52,1.0542,app_movil,0
compra_pos,79.77,22,0,domestic,37,1,82.47,0.9673,sucursal,0
retiro_cajero,52.39,12,5,domestic,20,2,76.1,0.6884,web,0
retiro_cajero,741.12,3,1,LATAM,18,5,364.37,2.034,app_movil,1
retiro_cajero,9.52,23,4,domestic,151,1,17.75,0.5365,cajero,0
transferencia,15.23,9,0,domestic,42,3,44.72,0.3406,web,0
transferencia,23.55,9,0,domestic,25,0,73.81,0.3191,web,0
transferencia,100.83,16,1,LATAM,65,2,163.88,0.6153,sucursal,0
pago_online,156.24,14,1,Asia,60,1,150.97,1.0349,app_movil,0
transferencia,102.72,19,5,domestic,47,1,95.12,1.0799,app_movil,0
transferencia,108.29,10,1,domestic,104,2,68.99,1.5696,cajero,0
compra_pos,145.7,13,0,domestic,71,3,115.25,1.2642,web,0
pago_online,34.79,13,0,EU,10,1,41.86,0.8312,app_movil,0
retiro_cajero,70.68,15,1,domestic,21,4,59.97,1.1785,app_movil,0
retiro_cajero,20.88,10,5,US,39,2,47.99,0.4351,sucursal,0
compra_pos,19.47,9,4,domestic,103,4,27.85,0.6992,cajero,0
pago_online,86.07,15,6,domestic,18,4,83.42,1.0317,app_movil,0
transferencia,100.32,16,3,domestic,40,3,96.3,1.0417,web,0
transferencia,325.7,22,4,domestic,78,0,276.11,1.1796,web,0
transferencia_internacional,252.26,16,5,domestic,56,2,186.1,1.3555,sucursal,0
pago_online,14.62,12,5,domestic,42,5,13.64,1.0718,app_movil,0
pago_online,74.14,10,1,domestic,75,1,78.25,0.9475,web,0
compra_pos,252.15,20,3,domestic,44,0,173.83,1.4505,web,0
compra_pos,16.79,22,0,domestic,15,2,16.28,1.0314,app_movil,0
retiro_cajero,39.43,17,3,domestic,73,4,49.25,0.8005,app_movil,0
transferencia_internacional,54.66,13,3,domestic,136,3,80.96,0.6751,web,0
pago_online,75.65,10,1,EU,46,1,83.17,0.9096,web,0
retiro_cajero,10.74,15,1,domestic,75,0,16.41,0.6543,web,0
transferencia_internacional,196.0,4,3,Asia,10,9,95.52,2.0519,sucursal,1
transferencia,59.7,11,1,Asia,65,1,43.86,1.3612,app_movil,0
compra_pos,161.79,11,0,domestic,152,1,265.1,0.6103,app_movil,0
transferencia,32.64,16,4,domestic,111,1,36.1,0.9041,web,0
transferencia,161.49,19,0,domestic,51,4,126.33,1.2783,app_movil,0
transferencia,45.68,14,6,domestic,68,2,27.14,1.683,app_movil,0
transferencia,76.51,13,6,domestic,113,0,66.55,1.1497,app_movil,0
retiro_cajero,92.97,8,4,domestic,33,1,65.88,1.4111,app_movil,0
compra_pos,123.28,11,4,domestic,21,1,123.2,1.0007,app_movil,0
retiro_cajero,82.28,10,4,EU,54,1,91.38,0.9005,cajero,0
transferencia_internacional,59.9,10,5,US,115,8,90.73,0.6602,app_movil,0
compra_pos,33.83,18,2,US,55,2,24.6,1.3752,app_movil,0
retiro_cajero,96.89,18,2,EU,26,0,95.75,1.0119,app_movil,0
transferencia,59.06,20,4,domestic,23,1,55.11,1.0716,sucursal,0
compra_pos,147.87,8,0,domestic,62,1,163.18,0.9062,web,0
compra_pos,96.57,20,4,domestic,75,4,94.85,1.0181,cajero,0
compra_pos,103.43,11,3,domestic,86,5,135.53,0.7632,sucursal,0
retiro_cajero,22.97,16,5,domestic,88,4,30.45,0.7542,web,0
transferencia,20.51,9,1,EU,44,1,26.92,0.7619,web,0
transferencia,61.09,15,4,domestic,66,1,48.94,1.2483,sucursal,0
transferencia,189.03,12,4,domestic,30,1,241.17,0.7838,sucursal,0
pago_online,42.53,18,3,LATAM,32,2,63.08,0.6742,app_movil,0
retiro_cajero,411.61,10,6,EU,8,5,208.26,1.9764,web,1
pago_online,126.1,8,4,domestic,14,3,82.79,1.5232,app_movil,0
retiro_cajero,293.13,23,2,domestic,87,1,457.89,0.6402,web,0
compra_pos,73.37,10,0,domestic,83,0,147.62,0.497,app_movil,0
transferencia,258.41,11,6,domestic,42,2,211.0,1.2247,web,0
retiro_cajero,220.07,12,3,domestic,29,3,184.39,1.1935,web,0
transferencia,211.57,18,1,US,20,1,133.59,1.5837,web,0
compra_pos,234.15,18,4,domestic,42,0,180.31,1.2986,cajero,0
pago_online,143.34,22,3,domestic,26,2,169.13,0.8475,web,0
transferencia,179.04,5,3,EU,25,3,119.25,1.5013,app_movil,0
pago_online,50.45,8,4,EU,167,1,48.17,1.0473,web,0
compra_pos,352.41,12,0,domestic,132,3,245.51,1.4354,app_movil,0
transferencia,80.61,22,0,Asia,33,0,96.59,0.8346,app_movil,0
transferencia,73.98,8,5,domestic,34,2,81.85,0.9038,app_movil,0
pago_online,276.2,23,4,domestic,47,2,216.54,1.2755,web,0
transferencia,56.79,16,4,domestic,84,1,114.41,0.4964,web,0
compra_pos,119.93,9,4,domestic,82,4,58.47,2.0511,app_movil,0
compra_pos,101.32,16,1,domestic,52,0,106.99,0.947,app_movil,0
pago_online,94.5,9,6,domestic,52,1,91.13,1.0369,web,0
compra_pos,529.72,11,3,domestic,127,4,560.38,0.9453,app_movil,0
transferencia,144.03,17,6,domestic,10,1,143.41,1.0043,sucursal,0
pago_online,5.72,19,1,LATAM,38,0,10.18,0.5619,web,0
retiro_cajero,8.24,9,4,Africa,34,2,11.6,0.7104,app_movil,0
pago_online,106.72,11,3,EU,50,0,78.86,1.3533,sucursal,0
compra_pos,38.31,15,0,domestic,63,5,45.68,0.8386,app_movil,0
transferencia,51.29,22,2,domestic,35,1,35.81,1.4323,web,0
pago_online,157.72,21,6,domestic,19,1,131.64,1.1981,web,0
pago_online,75.73,9,4,EU,79,2,68.57,1.1044,web,0
pago_online,54.63,13,3,domestic,15,0,79.87,0.6839,app_movil,0
pago_online,91.7,10,2,domestic,31,2,104.48,0.8777,web,0
transferencia_internacional,122.03,12,4,EU,36,1,148.35,0.8226,sucursal,0
pago_online,146.01,11,6,domestic,73,2,162.18,0.9003,app_movil,0
pago_online,42.56,21,1,domestic,52,2,65.73,0.6475,app_movil,0
pago_online,55.19,12,2,domestic,46,2,40.05,1.378,sucursal,0
pago_online,223.06,6,6,EU,76,3,152.43,1.4634,app_movil,0
transferencia,92.92,13,5,domestic,71,2,72.91,1.2745,web,0
transferencia,35.88,12,0,domestic,67,2,20.17,1.7788,web,0
retiro_cajero,60.4,9,3,US,49,0,110.92,0.5445,web,0
compra_pos,12.58,20,1,US,7,1,12.38,1.0165,app_movil,0
transferencia,61.52,19,1,EU,53,0,62.48,0.9846,app_movil,0
pago_online,73.68,20,2,domestic,82,2,67.92,1.0848,web,0
transferencia,41.65,10,0,domestic,127,0,50.77,0.8203,web,0
transferencia_internacional,76.41,12,0,LATAM,52,1,101.33,0.7541,app_movil,0
pago_online,84.17,11,1,domestic,61,2,117.34,0.7173,app_movil,0
transferencia,31.8,13,4,domestic,39,2,26.59,1.1961,web,0
retiro_cajero,161.59,10,0,domestic,22,2,150.34,1.0748,app_movil,0
pago_online,26.95,23,1,domestic,41,0,49.86,0.5404,sucursal,0
pago_online,95.33,10,6,Africa,26,1,94.62,1.0075,web,0
retiro_cajero,355.37,8,4,EU,37,0,233.52,1.5218,app_movil,0
transferencia,47.27,13,6,domestic,17,2,51.66,0.915,sucursal,0
pago_online,151.93,10,4,LATAM,161,1,138.48,1.0971,web,0
retiro_cajero,190.66,15,1,domestic,43,2,143.07,1.3326,web,0
transferencia,94.22,17,5,LATAM,117,1,75.68,1.2449,web,0
transferencia,45.0,10,1,US,54,1,139.22,0.3232,cajero,0
compra_pos,110.47,16,5,domestic,38,3,138.62,0.7969,web,0
pago_online,49.52,14,0,domestic,138,1,36.42,1.3596,app_movil,0
transferencia,222.83,16,6,Asia,47,1,183.13,1.2168,app_movil,0
pago_online,282.62,21,6,Africa,36,3,257.38,1.0981,app_movil,0
compra_pos,214.73,20,1,EU,87,1,146.4,1.4667,app_movil,0
retiro_cajero,145.01,8,1,domestic,38,0,264.33,0.5486,app_movil,0
pago_online,75.47,18,1,US,63,1,61.25,1.2322,web,0
compra_pos,93.32,21,2,domestic,45,2,95.09,0.9814,app_movil,0
transferencia,176.83,18,2,domestic,60,1,163.45,1.0818,web,0
pago_online,95.55,16,2,domestic,33,0,104.02,0.9186,cajero,0
transferencia,192.75,18,0,domestic,50,3,166.77,1.1558,app_movil,0
retiro_cajero,115.1,16,3,domestic,86,2,158.24,0.7274,sucursal,0
transferencia,224.54,15,2,Africa,93,0,294.43,0.7626,app_movil,0
compra_pos,388.6,10,2,EU,85,0,337.84,1.1502,app_movil,0
compra_pos,215.76,9,0,domestic,70,2,183.53,1.1756,sucursal,0
compra_pos,23.6,17,4,domestic,29,0,44.16,0.5345,app_movil,0
transferencia,273.71,16,4,domestic,10,1,249.3,1.0979,cajero,0
transferencia,36.28,13,0,domestic,51,2,49.12,0.7386,web,0
pago_online,152.37,14,0,LATAM,17,5,207.07,0.7358,cajero,0
retiro_cajero,46.62,22,4,domestic,62,2,40.5,1.151,cajero,0
transferencia,107.59,8,1,domestic,105,1,161.14,0.6677,sucursal,0
compra_pos,61.0,13,2,domestic,26,0,51.86,1.1762,sucursal,0
pago_online,170.03,16,5,domestic,104,1,161.6,1.0522,app_movil,0
pago_online,146.78,18,3,domestic,39,3,69.89,2.1002,app_movil,0
transferencia,62.04,12,3,domestic,51,2,55.75,1.1129,app_movil,0
retiro_cajero,13.12,23,3,domestic,55,0,11.1,1.1821,app_movil,0
transferencia_internacional,220.57,18,5,domestic,42,5,215.0,1.0259,sucursal,0
pago_online,322.87,19,0,domestic,100,2,826.46,0.3907,app_movil,0
transferencia,137.29,19,4,domestic,71,1,118.37,1.1599,web,0
pago_online,200.49,12,0,EU,76,1,115.44,1.7367,web,0
transferencia,111.67,10,1,EU,45,2,89.7,1.245,web,0
transferencia,31.47,11,2,domestic,47,1,47.68,0.66,app_movil,0
pago_online,170.21,20,2,domestic,70,0,199.66,0.8525,app_movil,0
compra_pos,59.36,13,2,domestic,50,1,61.73,0.9617,cajero,0
retiro_cajero,60.77,9,3,domestic,50,0,75.13,0.8089,web,0
compra_pos,61.22,16,0,domestic,38,2,59.56,1.0279,app_movil,0
transferencia,10.99,17,2,domestic,29,0,11.46,0.9593,web,0
retiro_cajero,23.45,22,5,domestic,24,2,21.21,1.1055,web,0
retiro_cajero,38.23,15,5,domestic,37,1,34.97,1.0932,app_movil,0
pago_online,97.03,23,4,domestic,67,2,100.1,0.9693,cajero,0
pago_online,64.53,13,0,domestic,28,2,76.54,0.8431,web,0
transferencia,113.97,18,5,EU,39,1,97.09,1.1739,web,0
compra_pos,123.83,13,1,domestic,23,1,161.22,0.7681,web,0
pago_online,179.53,17,0,domestic,47,0,176.58,1.0167,app_movil,0
compra_pos,188.02,22,3,US,19,0,179.65,1.0466,sucursal,0
pago_online,69.85,13,0,US,67,1,50.3,1.3886,app_movil,0
pago_online,55.67,17,1,domestic,49,2,112.37,0.4954,app_movil,0
transferencia,59.5,15,2,domestic,32,0,40.79,1.4588,cajero,0
compra_pos,237.29,20,0,Asia,16,1,271.35,0.8745,app_movil,0
pago_online,75.51,16,2,domestic,107,3,117.34,0.6435,app_movil,0
pago_online,141.05,14,2,US,69,1,144.8,0.9741,app_movil,0
retiro_cajero,72.33,17,6,domestic,17,1,74.64,0.9691,web,0
transferencia,51.22,8,2,domestic,50,1,67.86,0.7548,cajero,0
compra_pos,42.24,19,0,domestic,116,4,36.74,1.1497,app_movil,0
pago_online,32.13,17,2,domestic,18,0,30.32,1.0598,cajero,0
retiro_cajero,78.88,12,3,domestic,18,0,89.44,0.8819,sucursal,0
compra_pos,60.12,7,6,domestic,70,2,57.82,1.0397,app_movil,0
compra_pos,122.12,8,2,domestic,17,0,111.21,1.0981,app_movil,0
compra_pos,81.03,10,2,EU,28,2,85.5,0.9477,app_movil,0
retiro_cajero,60.7,8,0,Africa,57,2,121.96,0.4977,cajero,0
pago_online,308.72,17,6,domestic,41,2,210.4,1.4673,app_movil,0
transferencia,312.66,18,1,domestic,48,2,273.47,1.1433,app_movil,0
transferencia,29.17,19,6,domestic,62,0,27.33,1.0673,app_movil,0
compra_pos,210.26,11,0,LATAM,80,1,156.82,1.3408,web,0
pago_online,31.12,13,3,Asia,62,2,105.45,0.2951,web,0
compra_pos,125.57,8,6,domestic,52,0,91.74,1.3688,sucursal,0
transferencia,19.65,3,1,Asia,24,1,22.86,0.8597,app_movil,0
transferencia_internacional,42.83,8,2,domestic,64,2,37.71,1.1358,web,0
transferencia,56.32,16,1,US,186,3,44.48,1.2662,cajero,0
pago_online,69.26,9,5,domestic,51,2,56.54,1.225,web,0
pago_online,259.26,15,6,domestic,115,0,303.14,0.8553,app_movil,0
retiro_cajero,48.3,14,4,domestic,52,2,42.02,1.1495,web,0
transferencia,137.73,9,0,domestic,73,3,199.86,0.6891,app_movil,0
compra_pos,82.5,9,1,EU,21,0,98.23,0.8399,cajero,0
transferencia,158.05,19,2,domestic,59,1,207.56,0.7615,web,0
compra_pos,96.49,20,3,US,173,2,143.59,0.672,app_movil,0
transferencia,82.27,6,2,domestic,138,1,57.67,1.4265,cajero,0
pago_online,44.74,14,6,EU,53,4,43.82,1.0211,app_movil,0
transferencia,474.72,13,2,domestic,50,1,462.41,1.0266,web,0
pago_online,119.03,17,2,domestic,14,0,214.92,0.5538,sucursal,0
compra_pos,138.36,21,2,domestic,102,0,186.3,0.7426,cajero,0
pago_online,185.93,12,0,domestic,122,2,182.17,1.0206,web,0
transferencia,76.44,13,4,domestic,51,0,53.14,1.4385,app_movil,0
pago_online,67.45,14,2,domestic,47,3,65.76,1.0257,app_movil,0
pago_online,72.08,18,1,domestic,34,3,106.5,0.6768,app_movil,0
transferencia,430.65,17,4,EU,83,3,479.65,0.8978,web,0
compra_pos,207.66,11,2,US,34,3,185.4,1.12,app_movil,0
compra_pos,102.95,16,1,domestic,42,2,109.48,0.9403,web,0
retiro_cajero,46.35,9,3,domestic,98,2,64.92,0.7139,cajero,0
pago_online,111.71,21,2,domestic,46,3,227.48,0.4911,sucursal,0
transferencia,159.27,12,1,LATAM,52,2,181.76,0.8763,web,0
