loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
19625, 36 months,11.9,650.89,B,B1,9 years,OTHER,168023,Source Verified,car,9.86,0,15,0,3646,6.1,25,Fully Paid
12925, 36 months,7.27,400.68,B,B3,1 year,RENT,62812,Not Verified,medical,33.25,2,10,0,38241,27.2,26,Charged Off
2400, 60 months,11.99,53.37,C,C5,10+ years,OWN,51610,Verified,home_improvement,10.16,0,11,0,5922,44.2,27,Charged Off
9075, 60 months,10.28,194.07,B,B1,< 1 year,MORTGAGE,52054,Verified,house,18.34,0,11,0,8622,40.0,25,Current
8675, 36 months,8.17,272.52,B,B2,10+ years,RENT,58011,Source Verified,other,11.96,0,14,0,1664,56.0,31,Fully Paid
16300, 36 months,15.05,565.44,C,C5,10+ years,RENT,44625,Not Verified,credit_card,9.28,1,8,2,31642,36.5,23,Fully Paid
22550, 60 months,8.09,458.2,A,A5,6 years,MORTGAGE,42492,Source Verified,debt_consolidation,15.02,0,19,0,2283,38.9,30,Fully Paid
8425, 60 months,7.42,168.5,B,B1,5 years,MORTGAGE,26408,Verified,debt_consolidation,15.54,0,16,0,55603,74.3,27,Fully Paid
4175, 36 months,8.39,131.58,B,B3,4 years,MORTGAGE,61556,Not Verified,small_business,30.19,1,15,1,19161,49.0,29,Current
12250, 60 months,10.65,264.21,B,B2,10+ years,MORTGAGE,131091,Not Verified,debt_consolidation,19.43,0,15,0,8147,12.3,29,Fully Paid
5725, 36 months,17.6,205.83,D,D5,8 years,RENT,38811,Source Verified,credit_card,17.92,2,15,0,11840,52.8,26,Fully Paid
6475, 36 months,12.83,217.64,B,B3,9 years,RENT,83383,Not Verified,wedding,22.3,0,14,0,7000,38.6,29,Fully Paid
40000, 36 months,11.68,1322.47,C,C2,10+ years,RENT,84541,Source Verified,debt_consolidation,14.7,1,10,0,5192,51.8,22,Fully Paid
6150, 36 months,15.19,213.76,C,C4,4 years,RENT,76194,Verified,debt_consolidation,12.88,1,15,0,17230,65.1,27,Fully Paid
3300, 36 months,5.13,99.1,A,A4,6 years,MORTGAGE,184362,Not Verified,major_purchase,12.64,0,11,2,13336,38.6,25,Fully Paid
15100, 36 months,13.75,514.25,C,C2,10+ years,OWN,85911,Verified,debt_consolidation,12.33,0,26,0,4747,35.0,40,Fully Paid
16225, 36 months,7.84,507.24,A,A1,10+ years,RENT,62337,Not Verified,home_improvement,18.51,0,11,0,99882,61.2,25,Fully Paid
18300, 36 months,5.0,548.47,A,A2,< 1 year,MORTGAGE,73220,Source Verified,debt_consolidation,9.17,0,10,1,5389,18.3,21,Fully Paid
17800, 36 months,25.37,711.21,F,F2,< 1 year,RENT,99474,Not Verified,other,15.0,0,16,0,6887,18.3,31,Fully Paid
10950, 36 months,26.08,441.65,F,F1,6 years,RENT,170074,Not Verified,debt_consolidation,27.94,1,7,0,1118,46.0,22,Charged Off
11025, 60 months,18.14,280.8,D,D1,10+ years,RENT,51865,Source Verified,debt_consolidation,18.59,0,7,1,7648,59.0,15,Charged Off
19100, 36 months,12.58,639.7,B,B3,5 years,RENT,66683,Source Verified,debt_consolidation,15.8,1,13,1,68812,14.9,30,Fully Paid
30500, 36 months,7.95,955.06,A,A3,10+ years,RENT,375720,Not Verified,debt_consolidation,13.34,0,8,0,14127,34.3,20,Fully Paid
4075, 60 months,15.69,98.43,D,D1,2 years,RENT,58138,Verified,credit_card,11.65,0,13,2,18884,16.4,23,Charged Off
6450, 36 months,11.36,212.27,B,B4,< 1 year,MORTGAGE,56699,Verified,debt_consolidation,27.21,0,11,0,7801,15.4,26,Charged Off
15350, 36 months,5.61,464.27,A,A4,2 years,RENT,36180,Not Verified,credit_card,17.13,2,9,1,11128,33.8,23,Fully Paid
11825, 36 months,13.12,399.11,C,C2,10+ years,MORTGAGE,62960,Verified,debt_consolidation,13.41,0,18,0,34911,64.6,35,Fully Paid
2825, 60 months,7.75,56.94,A,A5,1 year,RENT,57267,Verified,other,14.56,0,6,0,27430,61.8,27,Fully Paid
6625, 60 months,20.67,178.0,E,E2,7 years,OWN,75807,Not Verified,moving,11.54,0,13,0,5668,68.0,21,Fully Paid
12225, 36 months,11.53,403.31,B,B2,5 years,MORTGAGE,70434,Not Verified,debt_consolidation,17.2,0,6,0,8436,72.4,18,Current
9975, 36 months,16.73,354.3,C,C5,10+ years,OWN,18321,Not Verified,credit_card,17.16,0,6,0,16571,8.9,22,Fully Paid
7675, 36 months,7.79,239.76,B,B1,< 1 year,MORTGAGE,27332,Not Verified,credit_card,21.0,0,11,4,4273,12.9,22,Fully Paid
40000, 60 months,12.51,900.12,C,C4,10+ years,MORTGAGE,54347,Verified,major_purchase,8.96,0,12,0,8943,7.9,22,Fully Paid
9725, 36 months,13.47,329.88,C,C2,4 years,RENT,46391,Not Verified,educational,17.35,3,12,0,5425,65.3,28,Fully Paid
11625, 60 months,8.81,240.25,B,B5,10+ years,MORTGAGE,32187,Not Verified,other,20.59,0,6,0,8092,48.1,20,Fully Paid
10850, 36 months,23.89,425.05,F,F3,10+ years,RENT,19848,Verified,debt_consolidation,15.42,0,11,0,12543,14.2,25,Fully Paid
11475, 36 months,17.66,412.89,D,D2,5 years,RENT,158705,Not Verified,other,28.19,1,11,1,7419,19.4,23,Fully Paid
10150, 60 months,24.96,297.68,F,F4,10+ years,RENT,157047,Source Verified,home_improvement,21.32,0,17,0,17839,37.0,32,Fully Paid
2300, 60 months,20.37,61.41,E,E1,< 1 year,MORTGAGE,94303,Not Verified,debt_consolidation,25.4,0,18,0,19613,25.2,28,Fully Paid
4925, 36 months,13.22,166.47,C,C2,10+ years,RENT,42133,Not Verified,debt_consolidation,10.71,0,17,1,13331,37.7,25,Fully Paid
7925, 36 months,19.66,293.15,E,E2,6 years,OTHER,144582,Source Verified,home_improvement,7.94,0,6,0,12155,16.6,18,Fully Paid
17475, 36 months,8.61,552.53,A,A5,6 years,RENT,38893,Source Verified,small_business,18.42,0,4,0,16581,68.5,15,Fully Paid
8025, 36 months,12.0,266.54,B,B3,2 years,OWN,77740,Verified,major_purchase,7.3,2,5,0,23604,80.7,21,Fully Paid
5525, 36 months,8.03,173.21,A,A3,7 years,RENT,37269,Source Verified,home_improvement,12.96,3,11,0,1578,68.9,28,Fully Paid
19150, 36 months,7.78,598.15,B,B1,1 year,MORTGAGE,60750,Verified,moving,16.26,0,5,1,3740,46.9,22,Current
25475, 36 months,9.11,811.4,B,B4,10+ years,MORTGAGE,80179,Not Verified,other,22.18,0,13,0,4656,19.2,26,Fully Paid
3375, 36 months,9.8,108.59,B,B1,3 years,MORTGAGE,24384,Not Verified,credit_card,17.06,0,9,0,2758,38.4,23,Current
10575, 36 months,15.09,367.05,D,D2,10+ years,MORTGAGE,46470,Not Verified,small_business,29.41,0,20,0,5336,29.0,38,Fully Paid
1525, 36 months,9.62,48.94,B,B2,9 years,MORTGAGE,69602,Source Verified,debt_consolidation,12.45,0,11,0,10175,19.9,20,Fully Paid
7950, 36 months,9.53,254.77,B,B3,10+ years,MORTGAGE,28210,Verified,debt_consolidation,11.43,0,10,0,6623,45.4,19,Fully Paid
37000, 60 months,14.63,873.06,C,C4,10+ years,MORTGAGE,34005,Source Verified,house,40.69,0,11,0,6264,66.0,25,Fully Paid
10550, 36 months,5.75,319.76,A,A5,2 years,MORTGAGE,69612,Source Verified,vacation,15.47,0,9,0,19614,13.1,21,Current
3750, 36 months,18.24,136.02,D,D4,< 1 year,RENT,43443,Verified,car,17.32,0,16,0,12548,20.7,38,Charged Off
3825, 36 months,5.06,114.74,A,A2,5 years,RENT,28630,Not Verified,debt_consolidation,13.13,0,10,0,5419,28.9,19,Fully Paid
5150, 36 months,25.77,206.87,G,G5,10+ years,RENT,60948,Not Verified,credit_card,11.55,0,12,0,4715,60.1,31,Fully Paid
6175, 36 months,15.93,216.88,D,D4,9 years,OWN,77731,Not Verified,credit_card,15.44,0,9,0,4042,28.4,26,Fully Paid
2625, 36 months,9.57,84.17,B,B4,10+ years,MORTGAGE,230177,Verified,debt_consolidation,25.03,0,9,0,68598,40.6,22,Current
12450, 36 months,5.0,373.14,A,A5,10+ years,RENT,62978,Not Verified,debt_consolidation,15.05,0,11,0,2873,47.2,19,Fully Paid
14475, 60 months,17.19,361.22,D,D2,10+ years,RENT,60272,Verified,debt_consolidation,6.07,0,11,0,12148,59.9,26,Charged Off
7725, 60 months,19.06,200.65,D,D4,8 years,MORTGAGE,50477,Verified,debt_consolidation,10.58,4,13,0,1049,59.8,24,Fully Paid
40000, 36 months,17.48,1435.68,D,D5,8 years,RENT,119309,Not Verified,vacation,34.97,2,7,0,4829,54.0,23,Fully Paid
7325, 36 months,16.18,258.18,D,D2,10+ years,MORTGAGE,72805,Verified,credit_card,5.97,0,10,0,1389,55.7,23,Fully Paid
22950, 36 months,5.0,687.83,A,A5,10+ years,MORTGAGE,98857,Verified,credit_card,12.29,1,14,0,4684,47.4,29,Fully Paid
3725, 36 months,6.78,114.64,B,B5,10+ years,MORTGAGE,68423,Source Verified,credit_card,19.61,0,10,0,12256,60.2,29,Fully Paid
12200, 36 months,5.0,365.64,A,A4,9 years,OWN,103630,Verified,car,19.8,0,5,0,3343,17.5,22,Fully Paid
13550, 36 months,19.8,502.19,E,E2,10+ years,MORTGAGE,75120,Verified,credit_card,19.98,0,11,0,2441,20.9,21,Charged Off
6000, 36 months,16.16,211.42,C,C4,5 years,MORTGAGE,25724,Not Verified,credit_card,23.51,0,18,0,19158,87.8,27,Fully Paid
11125, 60 months,5.42,212.09,B,B1,10+ years,MORTGAGE,50365,Not Verified,debt_consolidation,15.06,0,7,0,13447,57.5,20,Fully Paid
5975, 36 months,7.55,186.0,A,A1,10+ years,MORTGAGE,51301,Not Verified,home_improvement,10.93,0,9,0,8818,20.4,30,Fully Paid
7950, 36 months,8.48,250.89,B,B2,2 years,OWN,78122,Verified,debt_consolidation,15.06,0,10,0,1175,39.6,25,Fully Paid
8100, 60 months,9.0,168.14,B,B5,3 years,MORTGAGE,65617,Not Verified,home_improvement,26.51,0,8,0,11913,12.3,23,Fully Paid
3700, 36 months,15.09,128.42,D,D4,10+ years,RENT,133018,Not Verified,debt_consolidation,8.47,0,13,0,19847,27.4,26,Fully Paid
14250, 36 months,10.95,466.19,C,C4,10+ years,OWN,76025,Verified,other,13.69,0,16,0,4828,29.1,34,Fully Paid
14975, 36 months,20.19,557.98,E,E2,5 years,MORTGAGE,79454,Source Verified,home_improvement,16.57,0,8,0,1442,34.5,14,Fully Paid
7600, 36 months,13.39,257.5,C,C2,2 years,RENT,32582,Source Verified,credit_card,12.65,2,9,1,7449,37.1,23,Charged Off
11700, 36 months,7.5,363.94,A,A1,10+ years,MORTGAGE,65517,Not Verified,debt_consolidation,13.33,0,12,0,20957,73.0,29,Charged Off
5175, 36 months,13.97,176.79,D,D3,2 years,RENT,52635,Not Verified,home_improvement,19.35,0,9,1,11395,75.3,21,Charged Off
4100, 36 months,17.81,147.83,D,D2,7 years,MORTGAGE,17345,Not Verified,car,17.34,0,10,0,5323,61.3,30,Fully Paid
7475, 36 months,14.34,256.71,C,C3,10+ years,OWN,27229,Source Verified,debt_consolidation,24.03,0,13,2,10209,75.4,25,Fully Paid
16050, 60 months,17.14,400.09,D,D2,8 years,RENT,92391,Verified,debt_consolidation,20.52,0,13,0,23468,59.0,27,Fully Paid
9375, 36 months,12.37,313.04,C,C5,10+ years,OWN,88607,Source Verified,debt_consolidation,24.88,0,12,0,4729,52.4,20,Fully Paid
7275, 36 months,13.46,246.74,C,C5,< 1 year,MORTGAGE,42041,Source Verified,debt_consolidation,12.7,1,11,0,16056,24.3,29,Charged Off
12500, 60 months,9.26,261.06,B,B1,3 years,MORTGAGE,42826,Source Verified,small_business,46.63,5,9,1,6215,37.7,20,Fully Paid
5200, 36 months,7.95,162.83,A,A1,< 1 year,RENT,30330,Not Verified,other,8.4,0,11,2,16736,52.8,26,Current
4175, 36 months,5.95,126.92,A,A3,2 years,RENT,108432,Verified,debt_consolidation,22.68,0,11,0,7574,31.8,26,Fully Paid
7725, 36 months,6.66,237.33,A,A2,1 year,MORTGAGE,36840,Source Verified,medical,10.96,0,17,1,3007,31.5,35,Fully Paid
5450, 36 months,10.39,176.86,C,C4,10+ years,RENT,42521,Verified,debt_consolidation,8.54,0,20,0,683,34.6,28,Fully Paid
4300, 36 months,9.96,138.67,B,B1,5 years,MORTGAGE,110124,Not Verified,debt_consolidation,32.08,6,15,0,4628,29.2,26,Fully Paid
18625, 36 months,11.88,617.55,C,C4,10+ years,MORTGAGE,108806,Not Verified,debt_consolidation,14.17,0,12,0,8515,57.1,25,Charged Off
40000, 60 months,20.77,1076.97,E,E4,< 1 year,OTHER,53752,Not Verified,debt_consolidation,9.87,0,16,0,17231,71.8,35,Charged Off
3325, 36 months,10.68,108.35,B,B2,10+ years,RENT,60329,Source Verified,debt_consolidation,13.99,0,18,0,2013,44.9,42,Fully Paid
7375, 36 months,8.59,233.12,B,B3,10+ years,RENT,79427,Verified,debt_consolidation,12.52,0,8,0,3661,23.4,19,Fully Paid
11175, 36 months,16.55,395.92,D,D2,2 years,MORTGAGE,46825,Source Verified,major_purchase,15.42,0,16,1,2233,33.8,36,Fully Paid
2950, 36 months,9.76,94.86,B,B1,6 years,MORTGAGE,56393,Not Verified,debt_consolidation,14.42,0,18,0,1567,77.9,33,Fully Paid
8450, 36 months,7.05,261.1,A,A4,10+ years,OWN,53227,Verified,debt_consolidation,9.55,1,8,0,23430,47.8,21,Fully Paid
8900, 36 months,10.68,290.03,B,B2,10+ years,MORTGAGE,90421,Not Verified,other,16.87,0,9,0,9228,30.1,21,Fully Paid
13825, 36 months,7.49,429.98,A,A2,8 years,MORTGAGE,140111,Not Verified,major_purchase,16.36,0,10,0,47828,35.4,25,Current
5750, 36 months,19.43,212.02,E,E2,4 years,RENT,119094,Verified,credit_card,31.48,0,10,1,3777,45.2,28,Fully Paid
6650, 60 months,18.9,172.14,D,D1,10+ years,RENT,110166,Source Verified,debt_consolidation,29.32,0,15,0,16075,43.2,28,Current
19525, 60 months,14.13,455.63,C,C3,10+ years,RENT,31034,Not Verified,debt_consolidation,16.48,0,15,0,2064,34.4,25,Charged Off
13250, 36 months,22.11,506.78,E,E2,2 years,RENT,130014,Verified,debt_consolidation,19.77,0,4,0,23434,31.3,21,Fully Paid
16450, 60 months,17.02,409.0,D,D1,10+ years,MORTGAGE,39904,Verified,credit_card,10.81,0,10,0,2701,37.2,24,Charged Off
2875, 36 months,10.11,92.92,B,B4,8 years,MORTGAGE,20553,Not Verified,credit_card,21.41,0,15,0,4842,49.5,29,Fully Paid
6175, 60 months,19.82,162.98,E,E5,8 years,MORTGAGE,35972,Not Verified,debt_consolidation,49.06,0,12,1,7072,51.8,28,Charged Off
28600, 36 months,12.33,954.44,C,C1,10+ years,MORTGAGE,56667,Not Verified,major_purchase,10.4,0,11,0,14336,40.2,39,Fully Paid
9325, 36 months,17.96,336.93,D,D5,10+ years,MORTGAGE,17633,Verified,debt_consolidation,12.88,0,8,1,16408,60.8,29,Charged Off
9050, 60 months,20.4,241.79,E,E2,< 1 year,MORTGAGE,91782,Not Verified,home_improvement,18.14,2,13,0,14952,33.3,31,Charged Off
9325, 36 months,9.3,297.84,B,B2,7 years,OWN,98645,Source Verified,debt_consolidation,17.71,0,9,0,14190,24.7,24,Fully Paid
29700, 60 months,5.0,560.48,A,A1,10+ years,MORTGAGE,47602,Verified,debt_consolidation,17.21,0,12,0,14710,20.7,32,Charged Off
5850, 36 months,11.83,193.83,B,B5,10+ years,RENT,29743,Not Verified,other,12.5,0,14,0,6540,6.3,25,Fully Paid
15825, 36 months,9.67,508.18,B,B2,10+ years,MORTGAGE,104180,Not Verified,debt_consolidation,9.39,0,4,0,15035,38.9,16,Fully Paid
11900, 36 months,14.66,410.54,D,D4,< 1 year,MORTGAGE,34405,Verified,debt_consolidation,11.67,0,10,0,5195,49.2,27,Current
3800, 60 months,20.12,100.93,E,E3,3 years,MORTGAGE,22644,Verified,educational,22.92,0,10,0,5910,19.2,20,Fully Paid
8025, 36 months,6.2,244.86,A,A3,8 years,RENT,57602,Not Verified,car,37.09,0,12,0,6208,73.8,20,Fully Paid
5500, 36 months,12.64,184.36,C,C2,10+ years,RENT,60838,Verified,other,20.39,1,14,2,3461,45.6,26,Fully Paid
4050, 36 months,10.36,131.37,B,B5,3 years,RENT,72263,Not Verified,debt_consolidation,14.37,1,10,0,14808,9.6,24,Fully Paid
22850, 60 months,9.2,476.55,B,B2,10+ years,RENT,94915,Not Verified,credit_card,22.89,0,13,0,17021,43.0,32,Fully Paid
4200, 36 months,6.04,127.85,A,A5,2 years,MORTGAGE,102113,Not Verified,debt_consolidation,9.56,0,22,0,9513,36.4,31,Fully Paid
16700, 36 months,11.54,551.02,B,B4,< 1 year,MORTGAGE,28043,Verified,debt_consolidation,16.24,0,11,0,2001,69.0,20,Fully Paid
5400, 60 months,21.39,147.28,F,F5,10+ years,MORTGAGE,17622,Not Verified,debt_consolidation,12.96,0,5,0,23384,45.9,28,Charged Off
25575, 60 months,9.42,536.12,B,B2,5 years,RENT,78891,Source Verified,home_improvement,14.68,2,8,0,5207,34.3,14,Fully Paid
7375, 36 months,14.39,253.46,C,C4,10+ years,RENT,61684,Verified,car,13.12,0,15,0,13842,39.6,27,Current
12500, 36 months,17.44,448.4,D,D1,3 years,MORTGAGE,45488,Not Verified,small_business,10.55,1,11,0,13700,53.1,30,Fully Paid
6650, 36 months,11.03,217.81,B,B3,< 1 year,MORTGAGE,54890,Not Verified,car,32.46,0,11,0,32374,36.1,20,Fully Paid
2150, 36 months,27.03,87.81,F,F2,10+ years,OWN,36251,Verified,debt_consolidation,12.82,0,8,1,9079,17.9,23,Fully Paid
3075, 36 months,26.55,124.8,F,F2,10+ years,MORTGAGE,168772,Verified,home_improvement,12.8,0,9,1,9735,92.3,24,Charged Off
2600, 36 months,7.77,81.2,B,B2,7 years,MORTGAGE,17911,Verified,vacation,16.07,0,11,0,45695,37.0,19,Fully Paid
11800, 36 months,10.58,383.97,C,C4,< 1 year,MORTGAGE,77184,Not Verified,major_purchase,17.86,0,9,0,4493,71.7,23,Current
9700, 36 months,9.99,312.95,B,B1,10+ years,OWN,27692,Not Verified,debt_consolidation,31.37,0,13,0,29910,44.3,28,Fully Paid
15000, 36 months,7.47,466.39,B,B5,2 years,OTHER,40270,Source Verified,car,17.6,0,11,0,14268,17.6,21,Fully Paid
6150, 36 months,5.0,184.32,A,A1,10+ years,OTHER,46005,Source Verified,other,20.52,0,18,0,29237,4.9,29,Fully Paid
2150, 36 months,13.47,72.93,C,C4,3 years,OWN,33223,Verified,debt_consolidation,7.86,0,11,0,1773,54.9,22,Fully Paid
24600, 60 months,13.85,570.49,C,C2,10+ years,MORTGAGE,52259,Not Verified,debt_consolidation,18.58,0,11,0,3652,57.4,30,Fully Paid
19775, 36 months,9.07,629.48,A,A3,6 years,RENT,12370,Verified,debt_consolidation,12.14,0,11,0,3154,45.6,31,Current
12850, 36 months,10.65,418.57,B,B2,9 years,MORTGAGE,23864,Source Verified,other,12.22,1,12,0,2456,13.8,24,Fully Paid
21525, 36 months,22.88,831.88,E,E5,10+ years,RENT,19674,Not Verified,debt_consolidation,10.22,0,11,0,20773,40.9,27,Fully Paid
9200, 36 months,10.03,296.99,B,B3,< 1 year,RENT,28774,Not Verified,debt_consolidation,14.38,0,6,0,7869,71.2,18,Fully Paid
11900, 60 months,5.0,224.57,A,A2,10+ years,MORTGAGE,37149,Not Verified,educational,19.17,0,11,0,1634,55.6,24,Fully Paid
6025, 36 months,14.23,206.59,C,C3,1 year,MORTGAGE,59657,Not Verified,car,19.55,1,12,0,1477,48.5,25,Charged Off
4675, 36 months,29.0,195.91,G,G1,4 years,MORTGAGE,40699,Not Verified,credit_card,17.8,0,11,0,7543,20.8,25,Charged Off
3275, 36 months,10.09,105.81,B,B4,7 years,RENT,35531,Not Verified,other,12.82,0,16,0,9941,52.2,30,Fully Paid
5825, 60 months,15.18,139.13,C,C2,10+ years,MORTGAGE,43722,Verified,home_improvement,12.31,0,11,0,1580,63.2,22,Current
40000, 36 months,16.32,1412.61,D,D5,< 1 year,OWN,39384,Not Verified,small_business,13.92,0,5,2,4046,12.4,19,Fully Paid
3400, 36 months,10.32,110.22,B,B1,8 years,MORTGAGE,47914,Verified,car,17.17,0,14,0,92306,59.5,29,Fully Paid
5125, 36 months,16.24,180.79,D,D2,10+ years,MORTGAGE,48999,Source Verified,major_purchase,8.78,0,7,0,10963,58.0,18,Fully Paid
10700, 36 months,13.07,360.89,B,B1,4 years,MORTGAGE,37501,Not Verified,debt_consolidation,14.84,1,16,0,3125,17.3,34,Fully Paid
40000, 36 months,14.26,1372.16,C,C5,3 years,OWN,23271,Not Verified,debt_consolidation,14.17,0,12,1,12769,16.5,22,Fully Paid
4725, 36 months,11.32,155.41,C,C2,7 years,RENT,58174,Source Verified,major_purchase,18.94,1,10,0,6692,31.6,27,Fully Paid
6350, 36 months,15.78,222.56,C,C5,2 years,RENT,98855,Source Verified,small_business,50.0,0,9,0,4268,23.5,20,Charged Off
15825, 36 months,5.4,477.14,A,A3,6 years,RENT,31685,Source Verified,home_improvement,16.37,0,7,0,4073,36.8,10,Fully Paid
15200, 36 months,20.02,565.04,E,E5,10+ years,MORTGAGE,56065,Source Verified,other,16.52,0,9,0,3269,59.6,24,Fully Paid
6075, 36 months,10.2,196.59,B,B3,10+ years,RENT,45879,Source Verified,debt_consolidation,21.41,3,14,0,11105,56.9,26,Fully Paid
5500, 36 months,10.32,178.3,B,B2,5 years,MORTGAGE,84802,Not Verified,debt_consolidation,15.17,0,7,1,7932,63.7,24,Fully Paid
13525, 36 months,7.23,419.04,A,A3,10+ years,RENT,35582,Not Verified,credit_card,19.53,0,14,0,4523,42.5,29,Fully Paid
8000, 36 months,11.3,263.05,C,C2,< 1 year,RENT,52599,Not Verified,wedding,27.74,0,16,0,16356,18.8,39,Fully Paid
12100, 60 months,13.73,279.85,C,C2,8 years,RENT,55591,Source Verified,major_purchase,14.63,1,14,0,10912,15.9,29,Current
8775, 36 months,8.15,275.58,A,A4,10+ years,OWN,69754,Verified,debt_consolidation,30.25,0,6,1,2933,41.4,23,Fully Paid
12650, 36 months,14.61,436.1,C,C2,4 years,MORTGAGE,30922,Not Verified,debt_consolidation,17.77,0,15,0,6345,39.6,24,Fully Paid
13600, 36 months,7.55,423.36,B,B3,9 years,RENT,71855,Source Verified,debt_consolidation,22.62,1,15,0,11015,11.7,32,Current
2525, 36 months,12.02,83.89,C,C4,10+ years,RENT,43494,Not Verified,debt_consolidation,24.81,0,8,0,14799,72.6,18,Charged Off
7150, 36 months,5.0,214.29,A,A4,9 years,MORTGAGE,81514,Verified,debt_consolidation,27.92,5,6,0,2988,18.6,21,Fully Paid
12500, 36 months,17.01,445.72,D,D2,5 years,MORTGAGE,47160,Not Verified,house,25.91,0,17,0,3025,42.0,29,Fully Paid
17450, 36 months,7.17,540.16,B,B5,2 years,MORTGAGE,126973,Source Verified,medical,28.7,0,5,0,4135,34.1,17,Fully Paid
7825, 60 months,22.32,217.54,F,F5,6 years,OWN,22797,Source Verified,credit_card,17.61,0,14,0,22272,47.5,31,Fully Paid
2700, 36 months,5.5,81.53,A,A4,3 years,MORTGAGE,82952,Source Verified,credit_card,12.42,0,9,0,4655,62.0,25,Fully Paid
23725, 36 months,6.8,730.39,B,B2,10+ years,OWN,72243,Not Verified,small_business,17.13,0,13,0,2450,21.1,28,Charged Off
18000, 60 months,6.46,351.85,A,A5,6 years,RENT,78953,Not Verified,home_improvement,10.69,0,10,0,20763,55.3,22,Fully Paid
10650, 36 months,16.84,378.85,E,E2,10+ years,OWN,112633,Verified,other,14.41,0,21,0,2079,12.4,30,Charged Off
7125, 60 months,20.73,191.67,E,E2,2 years,MORTGAGE,20358,Verified,major_purchase,12.98,1,11,1,5248,45.2,29,Fully Paid
15050, 36 months,8.9,477.89,B,B4,5 years,RENT,219679,Source Verified,credit_card,9.05,2,19,0,1809,80.9,35,Fully Paid
7175, 36 months,12.06,238.52,C,C4,8 years,RENT,81745,Source Verified,house,23.77,0,8,0,10869,51.8,26,Fully Paid
18250, 36 months,15.81,639.91,D,D1,1 year,MORTGAGE,190534,Source Verified,home_improvement,28.05,0,9,0,6879,74.3,26,Current
34800, 60 months,12.91,790.2,C,C5,9 years,RENT,183336,Verified,home_improvement,12.29,0,10,0,10979,71.6,22,Fully Paid
7025, 60 months,13.89,163.06,C,C5,3 years,MORTGAGE,77416,Verified,debt_consolidation,21.24,0,15,0,3741,36.9,32,Fully Paid
17075, 36 months,11.48,562.9,B,B5,2 years,MORTGAGE,69892,Source Verified,renewable_energy,47.63,2,10,0,37996,65.4,20,Fully Paid
6250, 36 months,8.02,195.91,A,A3,1 year,RENT,93874,Not Verified,debt_consolidation,26.49,0,12,0,5897,34.8,21,Fully Paid
20300, 36 months,23.35,789.52,E,E2,4 years,RENT,15235,Not Verified,renewable_energy,10.91,0,7,4,15953,50.8,18,Fully Paid
8325, 36 months,21.01,313.69,E,E4,10+ years,OTHER,56792,Not Verified,medical,23.54,0,13,0,6680,21.6,27,Charged Off
27250, 60 months,13.21,622.95,C,C5,< 1 year,RENT,107080,Source Verified,car,15.36,0,9,0,5223,29.2,24,Current
