id_solicitud,fecha_solicitud,edad,ingresos_anuales,situacion_laboral,antiguedad_empleo,estado_civil,num_dependientes,importe_solicitado,plazo_meses,tipo_credito,num_creditos_activos,ratio_endeudamiento,historial_pagos,tiene_aval,provincia,scoring_externo,color_favorito,signo_zodiaco,impago,col_ruido_1,col_ruido_2,col_ruido_3,col_ruido_4,col_ruido_5,col_ruido_6,col_ruido_7,col_ruido_8,col_ruido_9,col_ruido_10,col_ruido_11,col_ruido_12,col_ruido_13,col_ruido_14,col_ruido_15,col_ruido_16,col_ruido_17,col_ruido_18,col_ruido_19,col_ruido_20,col_ruido_21,col_ruido_22,col_ruido_23,col_ruido_24,col_ruido_25,col_ruido_26,col_ruido_27,col_ruido_28,col_ruido_29,col_ruido_30
2946,2022-03-20,24,,autonomo,2.5,viudo,2,33150.02,48,auto,2,0.282,bueno,1,GIJON,590.0,verde,libra,0,0.0,1.0656,1.0,0.3797,-8.7772,-1.5505,2.0,3.1235,2.0,0.245,5.4359,0.1843,0.5443,4.0,1.1291,-1.2765,4.0,1.0,5.0691,3.9693,-1.6956,-1.2091,-4.8482,2.0,2.0,3.269,1.8413,6.836,-5.8179,1.0
2068,2023-10-25,33,23831.97,empleado,2.5,casado,0,6638.09,24,auto,1,0.23,bueno,0,Valencia,478.0,amarillo,virgo,0,3.0,1.2419,0.0,0.1924,7.9614,-0.0881,1.0,-9.0693,4.0,0.6858,8.5181,-0.1201,-0.3582,5.0,1.3034,2.1877,2.0,3.0,8.4491,-9.3466,0.9878,-0.7282,-2.6721,1.0,5.0,-3.623,0.5036,-3.2501,8.6109,3.0
3348,2022-04-04,55,5320.47,desempleado,0.0,divorciado,0,16024.04,48,personal,1,0.066,bueno,1, Sevilla ,540.0,morado,aries,0,4.0,-0.5164,3.0,1.2838,8.5712,0.567,5.0,1.2645,4.0,1.287,-0.2598,0.0698,-1.4671,2.0,0.3751,-0.1815,6.0,2.0,-5.9698,6.8388,-0.0663,1.6241,6.3271,4.0,6.0,9.1688,-0.8547,-9.6757,3.3069,1.0
531,2023-03-13,32,15152.72,autonomo,6.5,soltero,1,11859.99,48,auto,1,0.689,bueno,1,Sevilla,503.0,verde,geminis,0,2.0,0.6618,4.0,-1.2783,-2.8002,-1.8461,0.0,-5.6217,2.0,0.9701,4.469,-0.2445,-1.1851,1.0,-0.8996,-1.2064,2.0,3.0,-7.8622,4.4941,0.0005,0.4541,1.2754,3.0,4.0,8.2894,0.9272,7.9943,-9.6049,0.0
4302,2023-04-25,49,,empleado,6.9,divorciado,3,13391.62,36,personal,1,0.45,malo,0,Vigo,766.0,negro,virgo,0,4.0,-1.7703,5.0,-0.758,6.6619,0.1341,4.0,3.0842,2.0,0.0351,1.4892,-0.8983,-0.2116,3.0,-1.041,-0.7366,4.0,4.0,9.0996,-3.1584,-0.4685,1.1177,2.7476,3.0,5.0,-0.351,-1.1129,6.8143,6.5267,4.0
829,2023-09-23,18,25714.39,empleado,0.0,casado,0,18849.24,36,personal,0,0.477,malo,0, Sevilla ,792.0,amarillo,escorpio,0,5.0,-1.2373,3.0,-0.6499,7.7929,0.4324,1.0,-0.6914,3.0,-0.1179,-5.4199,0.946,-0.228,4.0,2.5979,-0.4924,0.0,3.0,-0.1302,-7.506,0.4512,-0.5734,4.8237,1.0,2.0,-5.9138,-1.6019,-0.2477,-4.58,4.0
1205,2023-04-21,59,34460.96,empleado,24.0,soltero,0,40846.23,36,auto,0,0.198,bueno,1,Valladolid,696.0,morado,tauro,0,1.0,-0.1433,2.0,-1.1338,-6.7248,-0.1321,4.0,-4.1181,3.0,-0.2275,-2.1931,0.4563,2.3106,3.0,-1.3344,-0.9242,4.0,1.0,8.1592,5.1104,0.3248,-0.1139,-3.9237,1.0,0.0,-4.2167,-0.2916,4.7683,2.6486,3.0
180,2023-01-01,40,5803.18,desempleado,0.0,casado,2,196796.47,240,hipoteca,2,0.437,bueno,0,Barcelona,714.0,negro,escorpio,0,2.0,1.2978,2.0,1.0658,1.6189,0.2377,2.0,-3.2545,1.0,-1.5088,9.2667,0.8046,0.9916,1.0,1.6719,0.3287,2.0,0.0,5.9851,6.0815,-1.3418,1.2074,6.3829,4.0,4.0,-9.437,-0.0995,-4.163,8.2365,2.0
2766,2023-01-26,50,39788.74,empleado,7.8,casado,4,12698.92,48,personal,0,0.211,bueno,1,Valencia,639.0,naranja,virgo,0,3.0,0.4245,4.0,-1.2786,7.6136,0.4232,2.0,-3.0799,2.0,-0.7752,4.3517,-0.6262,-0.6645,2.0,-1.4188,0.1389,3.0,5.0,0.786,-3.106,1.2296,-0.0061,4.6784,3.0,2.0,3.5319,0.4355,-1.6753,9.4332,4.0
1778,2022-04-29,27,33696.56,autonomo,7.8,viudo,0,205113.77,360,hipoteca,0,0.352,bueno,0,Murcia,767.0,verde,acuario,0,3.0,-1.347,2.0,-1.424,6.0645,0.4265,5.0,1.678,2.0,0.9896,-7.3476,0.0735,-1.4478,2.0,0.9318,0.796,3.0,2.0,6.4867,-2.7179,-0.198,-0.1199,-0.1059,3.0,2.0,0.4753,0.0807,9.7404,-7.1317,2.0
4928,2023-03-09,31,51782.6,autonomo,3.3,soltero,4,22390.71,60,auto,1,0.292,malo,0,Sevilla,530.0,verde,aries,1,1.0,-0.4933,3.0,0.1568,1.4205,0.9122,2.0,-1.2392,2.0,0.7762,2.3484,-0.3579,0.3153,4.0,0.284,0.8097,1.0,2.0,-9.915,-3.9552,0.9227,-0.2107,0.1603,7.0,2.0,4.6711,-1.0947,-8.9096,-6.3061,3.0
492,2023-09-26,59,9312.97,desempleado,0.0,soltero,2,23013.66,24,personal,0,0.413,bueno,0,Las Palmas,567.0,amarillo,escorpio,0,5.0,-0.7962,3.0,1.6272,8.4515,-0.2015,1.0,-4.0147,2.0,-1.5265,4.5741,1.106,-0.6898,4.0,0.3823,-2.5822,5.0,3.0,6.6434,7.6456,2.1122,1.6533,3.9627,3.0,5.0,4.0055,-1.4339,-0.0256,-6.6625,2.0
4654,2022-06-02,46,28353.17,empleado,0.5,viudo,2,249590.33,240,hipoteca,0,0.343,malo,0,Vigo,801.0,morado,acuario,0,2.0,0.7251,5.0,0.4893,0.6647,1.7723,3.0,-9.713,1.0,0.9321,-4.1425,-0.1586,-1.0927,5.0,1.0647,-0.5813,6.0,3.0,3.0794,1.5499,0.672,-0.9619,-1.1765,4.0,1.0,-8.8636,-0.6816,4.7749,-8.1991,0.0
34,2023-02-09,38,6972.15,jubilado,3.0,casado,2,184824.05,240,hipoteca,1,0.69,bueno,0,Valladolid,673.0,morado,capricornio,0,4.0,-0.4348,4.0,-1.6707,9.6605,-0.1701,2.0,1.8945,1.0,0.4653,5.9219,-1.0703,-2.0565,2.0,0.879,0.0735,3.0,4.0,9.1079,-4.1157,-3.0085,0.4686,-9.8718,4.0,3.0,-1.0259,-0.9847,-6.8334,-4.076,1.0
3023,2022-10-10,46,33384.8,empleado,27.8,casado,3,18510.91,12,personal,0,0.358,bueno,1,Barcelona,610.0,negro,escorpio,0,3.0,-0.4048,2.0,-0.6049,2.1102,0.1882,4.0,-0.4597,2.0,0.0418,-5.3535,0.8145,-0.1544,4.0,-0.7823,-0.7057,3.0,3.0,-0.511,-5.935,0.4519,0.049,-5.6496,3.0,0.0,-2.2462,-0.7841,1.6288,4.1262,3.0
3621,2023-12-29,49,43914.64,autonomo,17.7,divorciado,0,18625.26,48,auto,3,0.283,regular,1,Las Palmas,550.0,azul,libra,0,6.0,-0.8324,4.0,0.5306,1.9183,-0.9664,3.0,-4.4882,2.0,0.7931,-2.0897,1.4305,0.4,2.0,2.1562,-0.7695,1.0,3.0,7.4194,-8.9374,0.1067,0.4392,0.1674,3.0,3.0,0.3286,0.0342,9.7733,-4.8252,2.0
486,2022-06-19,52,8701.14,desempleado,0.0,casado,2,8569.58,6,tarjeta,1,0.15,regular,1,Valladolid,444.0,amarillo,sagitario,0,3.0,-0.3001,5.0,0.4052,2.1305,2.0388,5.0,4.7235,5.0,1.3031,2.881,0.671,-0.0425,1.0,0.1897,0.4473,3.0,6.0,7.4609,8.918,0.6493,0.1239,2.8615,1.0,5.0,8.6316,-0.1188,-8.2281,-1.9469,3.0
80,2023-05-04,50,34904.76,empleado,10.9,divorciado,1,155160.18,120,hipoteca,1,0.511,regular,1,valladolid,706.0,rojo,sagitario,0,5.0,0.5117,3.0,0.4838,-7.5142,-0.1652,1.0,6.9437,3.0,0.4045,6.5827,0.8158,0.7708,2.0,-0.834,0.5291,0.0,2.0,7.9317,-3.7193,-1.3226,-0.1315,6.1311,1.0,3.0,2.4182,0.4652,1.9695,1.9652,4.0
1345,2022-05-17,36,,empleado,5.4,casado,2,10338.32,36,personal,1,0.215,bueno,0,Madrid,574.0,negro,leo,0,1.0,-2.4197,3.0,0.1634,2.9002,-0.3256,3.0,-3.8375,4.0,1.0329,-1.6704,0.5675,-2.0163,5.0,-0.0444,-1.9844,1.0,2.0,-0.4848,-0.7447,0.002,-0.9783,-7.7356,3.0,4.0,6.5749,-0.5413,-4.7636,9.4028,3.0
578,2023-01-18,32,7950.27,empleado,3.9,casado,3,25949.79,60,auto,0,0.164,bueno,1,Las Palmas,677.0,rojo,acuario,0,1.0,-0.0131,2.0,0.3068,-4.8036,-0.2176,2.0,-2.8751,6.0,-0.5591,3.1832,0.5432,0.8409,3.0,-2.8454,1.4974,3.0,4.0,-8.3981,9.6446,-1.2953,0.8264,4.7862,3.0,5.0,1.7997,-1.3666,8.6039,3.9788,4.0
1176,2022-09-05,34,26458.9,autonomo,14.8,casado,1,178784.88,300,hipoteca,1,0.505,malo,1,Gijon,,naranja,capricornio,0,2.0,-0.0567,5.0,0.9145,-3.3708,-0.9315,4.0,-8.8366,1.0,-0.0843,7.3802,0.2166,-0.3551,6.0,-0.3925,0.2971,4.0,4.0,2.6968,-1.801,1.2649,-1.3892,6.8953,0.0,1.0,-5.6035,-0.288,-7.5552,-9.5782,0.0
1488,2022-01-01,55,19848.05,empleado,29.8,soltero,0,172648.35,360,hipoteca,3,0.029,bueno,1,Alicante,701.0,azul,escorpio,0,8.0,1.1355,2.0,-0.0966,6.4594,0.1224,2.0,1.0295,2.0,0.8976,-3.7381,1.4259,0.8713,1.0,0.6421,-0.325,3.0,3.0,9.7869,4.5658,0.1373,-2.2345,4.7032,3.0,3.0,9.5264,0.0982,-0.9598,-4.406,5.0
498,2022-10-01,38,35265.33,autonomo,4.1,casado,5,20567.86,12,personal,2,0.408,bueno,0,Zaragoza,544.0,blanco,acuario,0,3.0,-0.8209,2.0,0.6507,-8.717,-1.2411,0.0,0.9515,6.0,-2.6144,-6.3977,0.6813,0.0194,4.0,1.4231,-0.3738,1.0,5.0,-0.6919,-6.3523,0.1681,-1.0643,1.6494,2.0,4.0,-5.1797,0.1266,-1.3108,5.6505,1.0
4103,2022-05-19,18,5156.86,desempleado,0.0,casado,1,713.72,24,personal,1,0.351,bueno,0,Barcelona,780.0,amarillo,escorpio,0,5.0,0.9009,4.0,1.2728,-0.0681,2.2612,2.0,0.341,5.0,0.7351,1.6513,-0.0442,-0.0521,0.0,1.2523,-0.7012,4.0,7.0,-5.0718,6.7989,-0.4154,-1.4172,-9.5747,2.0,4.0,-2.103,-0.5928,7.8447,-1.5934,1.0
1145,2022-08-30,41,24137.93,jubilado,1.6,divorciado,2,201420.74,360,hipoteca,4,0.601,malo,1,Alicante,682.0,rojo,geminis,0,1.0,0.5064,2.0,-0.8001,6.5306,-1.015,6.0,-0.0012,3.0,1.4084,9.5976,-1.4412,-2.0534,8.0,-1.5601,1.2798,5.0,1.0,-6.6904,6.0223,0.4326,0.5514,-9.4362,5.0,3.0,8.9672,-2.5357,-8.7616,-7.7568,2.0
3735,2022-08-24,42,9526.23,empleado,10.4,soltero,2,19054.27,72,auto,1,0.548,malo,0,Barcelona,596.0,morado,virgo,1,2.0,-0.0659,3.0,0.4049,-6.8024,-0.2402,1.0,-3.9806,5.0,-0.1888,-9.9397,-1.2882,2.0731,7.0,-0.3569,0.9852,1.0,3.0,-0.2926,3.5262,0.9836,-1.2766,1.9432,5.0,4.0,4.4618,-1.0134,1.13,-9.9986,4.0
4238,2022-03-21,37,41922.83,empleado,0.4,soltero,2,221605.69,120,hipoteca,0,0.195,regular,1,Malaga,584.0,azul,virgo,0,2.0,0.0931,3.0,0.9019,-2.2672,0.039,2.0,9.888,3.0,0.313,-9.9035,-0.2458,-0.067,6.0,-0.2077,-1.4317,2.0,3.0,-1.5434,-4.018,-1.0222,-0.1645,-0.9264,6.0,5.0,9.7659,0.0305,-6.4899,-1.8642,3.0
3244,2023-01-14,31,41493.69,empleado,0.2,soltero,3,32167.89,24,auto,3,0.145,bueno,0,Malaga,721.0,naranja,escorpio,0,4.0,0.1734,4.0,0.6141,-0.7027,-0.4741,3.0,-0.9334,2.0,0.9695,-8.2995,-1.6584,-0.8088,4.0,0.0777,0.0512,6.0,5.0,2.2313,-0.3403,-0.5696,0.0389,1.6325,1.0,3.0,-9.4822,0.539,-5.0738,-0.3711,4.0
1236,2022-09-10,48,13867.63,autonomo,0.6,soltero,1,22101.18,60,personal,2,0.063,regular,1, Malaga ,465.0,blanco,libra,0,4.0,0.0965,0.0,1.0112,-4.2391,0.1513,2.0,-6.0982,0.0,0.6739,2.8848,-1.1693,-0.8893,1.0,0.1965,-0.8943,3.0,6.0,5.7427,3.1655,-1.7005,0.8544,-6.3966,5.0,7.0,-1.0498,0.4741,2.0425,-2.837,10.0
4569,2022-08-14,43,55635.81,empleado,3.4,viudo,3,20638.4,60,auto,0,0.071,bueno,1,Madrid,751.0,azul,aries,0,4.0,0.7307,1.0,-0.0563,6.6958,0.1818,3.0,4.0236,2.0,0.9914,7.0442,1.1118,-0.7351,5.0,-1.7071,0.2342,2.0,3.0,-8.1521,-9.2379,0.1482,0.1297,-7.5813,0.0,3.0,7.795,0.2609,7.1423,-1.2652,4.0
4268,2023-11-09,32,13348.45,jubilado,6.1,soltero,1,18748.55,48,personal,2,0.136,bueno,0,Madrid,669.0,negro,piscis,0,3.0,-0.049,7.0,1.0341,-3.9167,0.4129,4.0,-4.9979,4.0,0.0065,5.6122,0.7307,-1.1709,6.0,0.0502,-0.2564,5.0,1.0,-6.6735,-5.8357,0.53,0.7358,-8.0384,1.0,2.0,-0.1529,0.0545,-6.6784,4.0846,2.0
625,2023-03-18,52,27876.41,empleado,7.6,soltero,0,23784.02,36,auto,2,0.291,bueno,0,Madrid,725.0,azul,cancer,0,6.0,1.6218,6.0,-0.3404,2.8073,-1.5427,0.0,-6.5572,2.0,0.6718,-6.3993,1.4132,1.7576,4.0,-2.1126,1.2829,2.0,5.0,-7.2466,-3.8054,-0.0142,0.318,-9.011,5.0,1.0,7.8167,0.2805,-9.4806,9.9852,1.0
1630,2022-04-03,32,16542.45,jubilado,0.1,soltero,2,13984.96,60,auto,1,0.268,bueno,0,Madrid,571.0,naranja,tauro,0,4.0,-0.9957,9.0,1.8171,-3.9716,0.3416,7.0,-7.4253,1.0,-0.7871,3.9722,-0.0964,0.0964,6.0,-0.1602,-0.9856,1.0,1.0,4.7121,4.3973,-0.3758,-0.1135,8.4026,4.0,7.0,-1.9032,-0.4187,-3.2358,4.7185,3.0
200,2023-12-04,40,27471.08,empleado,12.1,casado,5,43011.26,36,auto,1,0.097,bueno,0,Palma,669.0,negro,leo,1,3.0,-1.5319,3.0,-1.1313,9.2398,0.1585,3.0,8.5674,2.0,-0.6899,-1.8446,-0.8248,-0.306,6.0,-0.8829,2.0494,2.0,3.0,9.3024,-2.7238,0.8108,1.1143,-1.2556,2.0,2.0,-3.3516,1.5453,-3.3856,8.1232,4.0
3614,2022-02-24,55,8366.17,autonomo,30.0,soltero,2,30257.23,24,auto,0,0.474,bueno,0,Zaragoza,622.0,negro,escorpio,0,4.0,-1.8102,4.0,0.7406,-8.8871,0.3454,4.0,-4.2619,1.0,0.2256,-2.7674,0.2548,0.6598,5.0,0.3664,0.4058,1.0,8.0,-0.031,-4.8269,-0.2308,-0.5595,8.3343,3.0,2.0,8.489,0.2622,1.4339,-0.0826,3.0
1989,2022-06-03,64,50375.48,empleado,33.3,casado,2,28438.18,12,personal,1,0.356,regular,1,Gijon,566.0,blanco,cancer,0,2.0,-0.2619,2.0,-2.3996,-5.8929,-0.83,1.0,2.9116,4.0,-1.5317,5.3846,0.8985,0.6358,5.0,-0.5287,0.906,2.0,2.0,3.6042,4.4181,-1.1051,-1.9203,-0.0196,1.0,8.0,-2.5792,-3.1301,-6.4149,-2.9461,3.0
2345,2023-03-05,21,38599.69,empleado,1.9,casado,0,28037.52,72,auto,2,0.476,regular,0,Cordoba,577.0,amarillo,tauro,0,6.0,-0.847,2.0,-0.912,9.2455,-0.1793,1.0,7.2842,4.0,0.2662,6.9503,-1.0558,1.1216,3.0,-1.7859,-0.8648,5.0,0.0,-0.0294,-9.8071,-0.8049,-1.36,9.2223,2.0,3.0,8.7487,-0.6383,-5.5911,-3.9408,2.0
3264,2023-09-22,32,46518.72,autonomo,6.2,casado,0,39590.3,24,auto,3,0.164,regular,0,gijon,798.0,naranja,escorpio,0,7.0,-1.6198,5.0,1.0035,-5.281,0.7809,4.0,-2.3222,4.0,0.6656,-8.9302,-0.4379,-1.7485,0.0,1.2714,0.9032,2.0,0.0,-7.029,-7.6564,1.2009,-1.1924,9.5028,2.0,3.0,-7.9868,-1.5408,2.0123,9.3284,5.0
1906,2022-06-28,28,22181.69,autonomo,6.8,casado,1,115316.63,120,hipoteca,4,0.207,bueno,0,Vigo,835.0,blanco,acuario,0,1.0,1.051,3.0,-0.8561,-5.4155,-0.2476,5.0,-4.1277,2.0,0.1453,1.3497,0.7625,0.6704,3.0,-0.8607,1.8486,8.0,5.0,-6.604,2.2943,-0.2783,-0.9457,-1.597,2.0,2.0,6.3688,-1.4107,5.5924,-7.7227,3.0
766,2023-07-24,41,-20562.05,autonomo,8.3,casado,1,8577.34,12,tarjeta,1,0.457,bueno,0,Murcia,689.0,naranja,cancer,0,5.0,-0.094,3.0,0.5446,-0.3892,-0.0799,2.0,-7.6973,1.0,-1.7383,-5.57,2.2438,0.5973,0.0,1.0774,-0.3816,1.0,1.0,-3.8356,3.7551,2.1196,1.0239,-9.9366,4.0,3.0,-4.8187,-0.0772,-2.7025,-1.31,5.0
804,2023-11-02,44,13768.47,jubilado,25.1,casado,2,5702.9,48,personal,2,0.282,regular,0,Las Palmas,645.0,negro,piscis,1,3.0,-0.344,4.0,2.6995,-6.8004,-1.7355,2.0,-0.8572,4.0,0.0193,2.2084,-0.8432,-0.6176,8.0,-1.102,1.7574,3.0,3.0,-5.3858,-0.3153,-1.2316,0.572,-8.1193,2.0,2.0,-0.6905,1.0345,4.9864,-0.2326,3.0
1502,2022-07-10,18,39374.02,empleado,0.0,soltero,4,27038.07,60,auto,1,0.128,malo,1, Madrid ,642.0,rojo,leo,0,4.0,0.1581,3.0,-1.8267,-4.1757,2.0941,1.0,2.5532,0.0,0.1256,7.5745,0.6779,0.3847,6.0,0.6063,1.4902,2.0,6.0,-6.5088,1.7578,-1.2018,-2.3181,8.0812,5.0,3.0,7.4554,0.138,-3.6417,1.8939,2.0
1771,2022-09-04,56,,autonomo,26.9,soltero,2,121918.49,300,hipoteca,3,0.497,bueno,1,Valladolid,677.0,negro,tauro,0,5.0,-1.1769,3.0,-0.6957,-5.1512,0.5853,4.0,-5.8212,2.0,0.2244,-7.808,0.0698,-0.1521,1.0,0.0295,-0.0741,2.0,3.0,0.7014,2.3257,1.1392,-0.7471,-6.1315,3.0,1.0,1.9599,-0.4769,6.5343,-5.4325,2.0
107,2023-07-24,36,18737.51,desempleado,0.0,soltero,1,182911.01,240,hipoteca,1,0.333,regular,0,Vigo,,amarillo,leo,0,3.0,0.7003,2.0,0.2426,5.3331,-1.483,3.0,6.0126,3.0,0.3901,-3.1726,0.9966,0.231,1.0,0.6757,0.7122,5.0,1.0,9.3066,2.3082,-0.7723,-1.3668,7.0157,3.0,4.0,-8.5818,1.1914,-9.4911,-7.0358,2.0
2965,2023-06-20,51,38725.91,empleado,16.3,viudo,1,8642.52,24,personal,2,0.171,bueno,1,Vigo,563.0,negro,geminis,0,4.0,2.6664,1.0,1.0758,-4.0611,0.5314,3.0,7.2207,7.0,0.5589,-2.2947,1.0883,3.0988,4.0,-0.3549,-0.08,5.0,5.0,-7.6207,-2.7998,0.7521,0.1538,-3.9392,3.0,3.0,9.4898,-0.1957,8.8109,6.7288,6.0
839,2022-01-11,33,3088.6,desempleado,0.0,casado,1,12635.76,36,personal,3,0.206,regular,1,Sevilla,547.0,negro,libra,1,2.0,1.5317,4.0,1.4774,8.3424,-1.3641,0.0,-7.4102,4.0,1.9769,0.0116,0.9226,0.0451,3.0,-1.6102,0.4828,3.0,3.0,2.685,3.716,1.2843,-0.3846,-3.9942,1.0,2.0,7.8056,1.0337,-6.4109,8.8968,1.0
3972,2023-11-08,40,32263.79,empleado,19.9,soltero,1,23054.68,60,personal,0,0.045,bueno,1,Barcelona,740.0,naranja,virgo,0,8.0,-0.51,2.0,0.534,-3.1257,-0.3378,1.0,8.7253,5.0,-0.0629,-5.4147,-0.0492,0.35,2.0,-1.6302,-0.2393,1.0,2.0,7.1729,-4.2974,0.5456,0.9837,5.5137,4.0,2.0,-7.0324,0.9084,1.5136,9.3682,1.0
706,2023-02-17,31,7175.2,desempleado,0.0,viudo,0,12052.59,60,personal,0,0.318,bueno,1,Bilbao,699.0,verde,libra,0,1.0,1.0879,3.0,-1.3514,5.6237,0.4828,3.0,-8.9247,3.0,0.8096,6.5431,-0.1673,-0.7485,4.0,0.5855,1.2654,3.0,0.0,8.4265,8.7768,-1.7469,-0.9738,-1.2846,1.0,4.0,-6.5382,0.769,9.0949,-7.1538,1.0
4151,2022-08-29,39,54363.47,empleado,0.8,divorciado,0,13598.49,24,auto,4,0.495,bueno,0,Madrid,564.0,rojo,libra,0,5.0,-0.7888,5.0,2.7387,-6.4624,-0.184,1.0,-0.2933,1.0,-0.173,7.467,0.7205,-1.1573,3.0,-0.6985,-1.0957,4.0,1.0,7.0676,-1.3942,0.4905,-1.0563,-5.1071,2.0,7.0,7.9267,0.9658,9.1897,-7.9205,1.0
3180,2022-05-04,56,27526.89,autonomo,32.3,soltero,2,24715.31,48,personal,1,0.176,regular,1,Alicante,619.0,amarillo,piscis,1,6.0,1.7568,2.0,0.7959,2.2929,-0.294,1.0,5.6876,2.0,1.0188,-8.876,-0.0111,-0.6986,5.0,1.3711,0.5679,1.0,3.0,-2.6593,9.0614,-0.5362,-0.9128,2.8032,8.0,5.0,-5.8688,1.8929,6.713,-5.5961,0.0
